43.39,62.35,78.18,90.10,97.49,100.00,97.49,90.10,78.18,62.35,
-26.98,-0.00,26.98,51.96,73.08,88.79,97.91,99.77,94.23,81.70,
-18.93,0.00,18.93,37.17,54.06,69.01,81.46,90.96,97.18,99.89,
-32.47,-16.46,-0.00,16.46,32.47,47.59,61.42,73.57,83.72,91.58,
43.39,62.35,78.18,90.10,97.49,100.00,97.49,90.10,78.18,62.35,
-18.93,0.00,18.93,37.17,54.06,69.01,81.46,90.96,97.18,99.89,
-22.25,-0.00,22.25,43.39,62.35,78.18,90.10,97.49,100.00,97.49,
18.93,37.17,54.06,69.01,81.46,90.96,97.18,99.89,98.98,94.50,
73.57,83.72,91.58,96.94,99.66,99.66,96.94,91.58,83.72,73.57,
-63.11,-81.70,-94.23,-99.77,-97.91,-88.79,-73.08,-51.96,-26.98,-0.00,
-22.25,-0.00,22.25,43.39,62.35,78.18,90.10,97.49,100.00,97.49,
18.93,37.17,54.06,69.01,81.46,90.96,97.18,99.89,98.98,94.50,
73.57,83.72,91.58,96.94,99.66,99.66,96.94,91.58,83.72,73.57,
